"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Aluma Systems","CLRAluma","Aluma@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Atco Structures","CLRatcostructures","atcostructures@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Bird Const","CLRBird","Bird@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Atwork Construction","CLRAtwork","Atwork@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Breck Construction","CLRBreckConstruction","BreckConstruction@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Brock","CLRBrock","Brock@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService","ClearwaterEnergyService@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Chinook Scaffold","CLRChinookScaffold","ChinookScaffold@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Dominion Construction","CLRDominion","Dominion@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Flaminio Ceilings","CLRFlaminioCeilings","FlaminioCeilings@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Industrial Scaffold","CLRIndScaff","IndScaff@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Harris Rebar","CLRHarrisRebar","HarrisRebar@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Skyhigh","CLRSKYHIGH","SKYHIGH@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Vector Construction","CLRVectorConst","VectorConst@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Systems Scaffold","CLRSystems","Systems@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Park Derochie","CLRParkDerochie","ParkDerochie@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Millenium Const","CLRMillConst","MillConst@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Safway","CLRSafway","Safway@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
"(clr) Unistrut","CLRUnistrut","Unistrut@clrs.local","(clr) Carpenter Contractors","CarpenterContractors@clrs.local"
