"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Alstom","CLRalstom","alstom@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Alliance Refractories","CLRAlliance","Alliance@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Atco Structures","CLRatcostructures","atcostructures@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Bird Const","CLRBird","Bird@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Canadian Stebbins","CLRCanadianStebbins","CanadianStebbins@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Clayburn Refractories","CLRClayburn","Clayburn@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Chemco","CLRchemco","chemco@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService","ClearwaterEnergyService@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Edmonton Exchanger","CLREdmontonExchanger","EdmontonExchanger@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Western Refractory","CLRWesternRefractory","WesternRefractory@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Vector Construction","CLRVectorConst","VectorConst@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Wee-Lift Cranes","CLRWee-Lift","Wee-Lift@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Michels Canada","CLRMichelsCanada","MichelsCanada@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) RHI Canada","CLRRHI","RHI@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward","Waiward@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
"(clr) Melloy Industrial Services Inc.","CLRmelloyindustrialservices","melloyindustrialservices@clrs.local","(clr) Labourer Contractors","LabourerContractors@clrs.local"
