"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Apperley Electric","CLRApperley","Apperley@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Bill's Electric City","CLRBill'sElectricCity","Bill'sElectricCity@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock","babcock@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Chemco","CLRchemco","chemco@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Centec Electric","CLRCentec","Centec@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Coeus Electric & Controls Ltd.","CLRCoeus","Coeus@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Eco-Consulting","CLREco-Consulting","Eco-Consulting@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Fuller Austin","CLRFullerAustin","FullerAustin@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) GETSCO Technical Service Inc.","CLRGETSCO","GETSCO@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Grace Instrumentation","CLRGraceInst","GraceInst@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Kusy's Electric","CLRKusy'sElec","Kusy'sElec@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Danrich Environmental Control Systems Ltd.","CLRDanrich","Danrich@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Globe-Elite","CLRGlobe-Elite","Globe-Elite@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Sim Electric","CLRSimElec","SimElec@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) PCL Intracon","CLRPCLIntracon","PCLIntracon@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Western Pacific","CLRWesternPacific","WesternPacific@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
"(clr) Tesco","CLRTESCO","TESCO@clrs.local","(clr) Electrical Contractors","ElectricalContractors@clrs.local"
