"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Bird Const","CLRBird","Bird@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock","babcock@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Chemco","CLRchemco","chemco@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService","ClearwaterEnergyService@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Edmonton Exchanger","CLREdmontonExchanger","EdmontonExchanger@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Thorpe Bros","CLRThorpeBros","ThorpeBros@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Michels Canada","CLRMichelsCanada","MichelsCanada@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward","Waiward@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Melloy Industrial Services Inc.","CLRmelloyindustrialservices","melloyindustrialservices@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) Titan","CLRTitan","Titan@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
"(clr) WaltersField","CLRWFS","WFS@clrs.local","(clr) O/E Contractors - Industrial","O/EContractors-Industrial@clrs.local"
