#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","smtp","email_addresses"
"(clr) A&D Training","SMTP:CLRA_DTraining@clrsask.onmicrosoft.com","CLRA_DTraining@clrsask.onmicrosoft.com"
"(clr) Accent Masonry","SMTP:CLRAccentMasonry@clrsask.onmicrosoft.com","CLRAccentMasonry@clrsask.onmicrosoft.com"
"(clr) Adler Insulation","SMTP:CLRAdler@clrsask.onmicrosoft.com","CLRAdler@clrsask.onmicrosoft.com"
"(clr) Adler Firestopping","smtp:CLRAdlerFire@clrsask.onmicrosoft.com","CLRAdlerFire@clrsask.onmicrosoft.com"
"(clr) Aecon","SMTP:CLRAecon@clrsask.onmicrosoft.com","CLRAecon@clrsask.onmicrosoft.com"
"(clr) Agra Foundations","SMTP:CLRAgra@clrsask.onmicrosoft.com","CLRAgra@clrsask.onmicrosoft.com"
"(clr) Air-Tech","SMTP:CLRAir-Tech@clrsask.onmicrosoft.com","CLRAir-Tech@clrsask.onmicrosoft.com"
"(clr) Alliance Refractories","SMTP:CLRAlliance@clrsask.onmicrosoft.com","CLRAlliance@clrsask.onmicrosoft.com"
"(clr) Allied Blower","SMTP:CLRAllied@clrsask.onmicrosoft.com","CLRAllied@clrsask.onmicrosoft.com"
"(clr) Al-Loyd Welding","SMTP:CLRAl-Loyd@clrsask.onmicrosoft.com","CLRAl-Loyd@clrsask.onmicrosoft.com"
"(clr) All Users","SMTP:CLRallusers@clrsask.onmicrosoft.com","CLRallusers@clrsask.onmicrosoft.com"
"(clr) Alstom","SMTP:CLRalstom@clrsask.onmicrosoft.com","CLRalstom@clrsask.onmicrosoft.com"
"(clr) Altex","SMTP:CLRAltex@clrsask.onmicrosoft.com","CLRAltex@clrsask.onmicrosoft.com"
"(clr) Aluma Systems","SMTP:CLRAluma@clrsask.onmicrosoft.com","CLRAluma@clrsask.onmicrosoft.com"
"(clr) Anlin Welding","SMTP:CLRAnlinWelding@clrsask.onmicrosoft.com","CLRAnlinWelding@clrsask.onmicrosoft.com"
"(clr) APEC Industrial","SMTP:CLRAPECIndustrial@clrsask.onmicrosoft.com","CLRAPECIndustrial@clrsask.onmicrosoft.com"
"(clr) Apperley Electric","SMTP:CLRApperley@clrsask.onmicrosoft.com","CLRApperley@clrsask.onmicrosoft.com"
"(clr) ArdelSteel","SMTP:CLRArdelSteel2@clrsask.onmicrosoft.com","CLRArdelSteel2@clrsask.onmicrosoft.com"
"(clr) Areva","SMTP:CLRareva@clrsask.onmicrosoft.com","CLRareva@clrsask.onmicrosoft.com"
"(clr) Armatures Bois-Francs Inc.","SMTP:CLRArmaturesBoisFrancs@clrsask.onmicrosoft.com","CLRArmaturesBoisFrancs@clrsask.onmicrosoft.com"
"(clr) Atco Structures","SMTP:CLRatcostructures@clrsask.onmicrosoft.com","CLRatcostructures@clrsask.onmicrosoft.com"
"(clr) Atwork Construction","SMTP:CLRAtwork@clrsask.onmicrosoft.com","CLRAtwork@clrsask.onmicrosoft.com"
"(clr) Babcock & Wilcox","SMTP:CLRbabcock@clrsask.onmicrosoft.com","CLRbabcock@clrsask.onmicrosoft.com"
