#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Alias","type","EmailAddresses"
"(clr) Melloy Industrial Services Inc.","CLRmelloyindustrialservices",,"SMTP:melloyindustrialservices@clrs.local"
"(clr) Westcor Services","CLRWestcor",,"SMTP:Westcor@clrs.local"
"(clr) Split Steel","CLRSplitSteel",,"SMTP:SplitSteel@clrs.local"
"(clr) ThyssenKrupp Elevator","CLRThyssenKrupp",,"SMTP:ThyssenKrupp@clrs.local"
"(clr) Regina Elevator","CLRreginaelevator",,"SMTP:reginaelevator@clrs.local"
"(clr) Kone Elevator","CLRkone",,"SMTP:kone@clrs.local"
"(clr) Otis Elevator","CLRotis",,"SMTP:otis@clrs.local"
"(clr) Windows SBS Administrators","CLRsbsadmins",,"SMTP:sbsadmins@clrs.local"
"(clr) Iron Worker Commercial Contractors","CLRIronWorkerCommercialContractors",,"SMTP:IronWorkerCommercialContractors@clrs.local"
"(clr) Insulator Industrial Negotiating Committee","CLRIns.Ind.Negot",,"SMTP:Ins.Ind.Negot@clrs.local"
"(clr) ITS Occupational Health","CLRITS.Health",,"SMTP:ITS.Health@clrs.local"
"(clr) Industrial Corrosion Control","CLRICC",,"SMTP:ICC@clrs.local"
"(clr) JoyGlobal","CLRJoyGlobal",,"SMTP:JoyGlobal2@clrs.local"
"(clr) Insulator Contractors","CLRInsulatorContractors",,"SMTP:InsulatorContractors@clrs.local"
"(clr) Honeywell","CLRHoneywell",,"SMTP:Honeywell@clrs.local"
"(clr) Labourer Contractors","CLRLabourerContractors",,"SMTP:LabourerContractors@clrs.local"
"(clr) Northern Crane","CLRNorthernCrane",,"SMTP:NorthernCrane@clrs.local"
"(clr) Modern Niag","CLRMNiagara",,"SMTP:MNiagara@clrs.local"
"(clr) MOSAIC","CLRMosaic",,"SMTP:Mosaic@clrs.local"
"(clr) LaFramboise","CLRLaframboise",,"SMTP:Laframboise@clrs.local"
"(clr) Millwright Contractors","CLRMillwrightContractors",,"SMTP:MillwrightContractors@clrs.local"
"(clr) LMI Committee","CLRLMICommittee",,"SMTP:LMICommittee@clrs.local"
"(clr) NCLRA","CLRNclra",,"SMTP:Nclra@clrs.local"
"(clr) O/E COMM Contractors","CLRO/ECommContractors",,"SMTP:O/ECommContractors@clrs.local"
"(clr) O/E Contractors - Industrial","CLRO/EContractors-Industrial",,"SMTP:O/EContractors-Industrial@clrs.local"
"(clr) Postmaster and Abuse Reporting","CLRpostmaster",,"SMTP:postmaster@clrs.local"
"(clr) Plumber Comm. Contractors","CLRPlumberComm.Contractors",,"SMTP:PlumberComm.Contractors@clrs.local"
"(clr) Accent Masonry","CLRAccentMasonry",,"SMTP:AccentMasonry@clrs.local"
"(clr) A&D Training","CLRA&DTraining",,"SMTP:A&DTraining@clrs.local"
"(clr) Aluma Systems","CLRAluma",,"SMTP:Aluma@clrs.local"
"(clr) Apperley Electric","CLRApperley",,"SMTP:Apperley@clrs.local"
"(clr) Al-Loyd Welding","CLRAl-Loyd",,"SMTP:Al-Loyd@clrs.local"
"(clr) APEC Industrial","CLRAPECIndustrial",,"SMTP:APECIndustrial@clrs.local"
"(clr) ArdelSteel","CLRArdelSteel2",,"SMTP:ArdelSteel2@clrs.local"
"(clr) Adler Insulation","CLRAdler",,"SMTP:Adler@clrs.local"
"(clr) Aecon","CLRAecon",,"SMTP:Aecon@clrs.local"
