"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Alstom","CLRalstom","alstom@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Bill's Electric City","CLRBill'sElectricCity","Bill'sElectricCity@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Breck Construction","CLRBreckConstruction","BreckConstruction@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService","ClearwaterEnergyService@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Custom Steel Erectors Ltd.","CLRCustomSteel","CustomSteel@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) GETSCO Technical Service Inc.","CLRGETSCO","GETSCO@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Ram Steel","CLRRamSteel","RamSteel@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Team Industrial","CLRTeamInd","TeamInd@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward","Waiward@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
"(clr) Precise Machine","CLRPrecise","Precise@clrs.local","(clr) Millwright Contractors","MillwrightContractors@clrs.local"
