"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"Modern Niagara","ModernNiagara","ttheodosiou@modernniagara.com","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Al-Loyd Welding","CLRAl-Loyd","Al-Loyd@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Altex","CLRAltex","Altex@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Alstom","CLRalstom","alstom@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock","babcock@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) C&E Mechanical","CLRC&E","C&E@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Chemco","CLRchemco","chemco@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Clearwater Energy Service","CLRClearwaterEnergyService","ClearwaterEnergyService@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Christie Mechanical","CLRChristieMech","ChristieMech@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Cimco Refrig","CLRCimcoRefrig","CimcoRefrig@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Discount Plumbing","CLRDiscount","Discount@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Edmonton Exchanger","CLREdmontonExchanger","EdmontonExchanger@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Ellis Mechanical","CLREllisMech","EllisMech@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Edco Plumbing & Heating","CLREdcoPH","EdcoPH@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Grace Instrumentation","CLRGraceInst","GraceInst@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Kusy's Electric","CLRKusy'sElec","Kusy'sElec@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Plumber/Pipefitter Contractors","Plumber/PipefitterContractors@clrs.local"
