"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"(clr) Aluma Systems","CLRAluma","Aluma@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Alliance Refractories","CLRAlliance","Alliance@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) C&B Stoneworks","CLRC&BStoneworks","C&BStoneworks@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Brxton","CLRBrxton","Brxton@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Canadian Stebbins","CLRCanadianStebbins","CanadianStebbins@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) CK Masonry","CLRCKMasonry","CKMasonry@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Clayburn Refractories","CLRClayburn","Clayburn@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) City Masonry","CLRCityMasonry","CityMasonry@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Fuller Austin","CLRFullerAustin","FullerAustin@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Scorpio Masonry","CLRScorpioMasonry","ScorpioMasonry@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Thorcan","CLRthorpecanada","thorpecanada@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Insight Masonry","CLRInsightMasonry","InsightMasonry@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Western Refractory","CLRWesternRefractory","WesternRefractory@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Max Refractory","CLRMaxRefractory","MaxRefractory@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Reftech","CLRreftech","reftech@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) Safway","CLRSafway","Safway@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
"(clr) RHI Canada","CLRRHI","RHI@clrs.local","(clr) Bricklayer Contractors","BricklayerContractors@clrs.local"
