"DisplayName","Alias","Primary SMTP address","Distribution Group","Distribution Group Primary SMTP address"
"South East Construction Sales","SouthEastConstructionSales","sales@secon.ca","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) ArdelSteel","CLRArdelSteel2","ArdelSteel2@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Aecon","CLRAecon","Aecon@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Anlin Welding","CLRAnlinWelding","AnlinWelding@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Black & McDonald","CLRBlack&McDonald","Black&McDonald@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) BFI","CLRBFI","BFI2@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Balzer's Canada","CLRBalzer's","Balzer's@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Breck Construction","CLRBreckConstruction","BreckConstruction@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Babcock & Wilcox","CLRbabcock","babcock@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) CIMS","CLRCIMS","CIMS@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Derksen Mechanical","CLRDMS","DMS@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Coastal Steel","CLRCoastalSteel","CoastalSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Custom Steel Erectors Ltd.","CLRCustomSteel","CustomSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) E. S. Fox Ltd.","CLRESFox","ESFox@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Fuller Austin","CLRFullerAustin","FullerAustin@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Elance Steel","CLRElance","Elance@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Worley Industrial","CLRworleyindustrial","jacobs@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Icon Construction","CLRIconConst","IconConst@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) South East Construction","CLRSecon","Secon@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Tesc","CLRTesc","Tesc@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) PCL Industrial","CLRPCLIndustrialConstructors","PCLIndustrialConstructors@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) LML Industrial","CLRLML","LML@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Unistrut","CLRUnistrut","Unistrut@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Pryme Iron Inc.","CLRPrymeIronInc","PrymeIronInc@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Armatures Bois-Francs Inc.","CLRArmaturesBoisFrancs","ArmaturesBoisFrancs@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) R J Steel Erectors","CLRRJSteel","RJSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Ram Steel","CLRRamSteel","RamSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Supreme Steel","CLRSupreme","Supreme@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) VSL Canada","CLRVSL","VSL@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Skyline Steel","CLRSkyline","Skyline@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Waiward Steel Fabricators","CLRWaiward","Waiward@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Hub City Steel","CLRHubCity","HubCity@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Split Steel","CLRSplitSteel","SplitSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) JoyGlobal","CLRJoyGlobal","JoyGlobal2@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) LaFramboise","CLRLaframboise","Laframboise@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) WaltersField","CLRWFS","WFS@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"(clr) Capitol Steel","CLRCapitolSteel","CapitolSteel@clrs.local","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
"Kings Mechanical","kingsmechanical","kingmec@nbnet.mb.ca","(clr) Iron Worker Contractors","IronWorkerContractors@clrs.local"
